alert-outbox-ops-告警-—-操作流-关闭告警-→-填写说明-→-提交-→-toast | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-outbox-ops-告警-—-操作流-确认告警-→-填写说明-→-提交-→-toast | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-outbox-ops-告警-—-操作流-静默告警-→-填写说明-→-提交-→-toast | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-outbox-ops-告警-—-筛选查询-Trace-搜索-→-查询-→-重置 | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-outbox-ops-告警-—-筛选查询-刷新 | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-outbox-ops-告警-—-筛选查询-状态筛选-→-查询 | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-outbox-ops-告警-—-筛选查询-级别筛选-→-查询 | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
alert-routing-crud-alert-routing-CRUD-告警路由-新增告警路由对话框可打开-验证字段 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').filter({ hasText: '新增告警路由' }).getByText('路由编码', { exact: true })|
alert-routing-validation-a-1a61d-g-表单校验-receiver-超长被截断-≤256- | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
alert-routing-validation-a-f584e-ode-team-severity-receiver- | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
alert-routing-validation-alert-routing-表单校验-routeCode-超长被截断 | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
all-pages-zero-error--cros-dfdf9-无服务端错误-observability-alerts | Error: expect(locator).toHaveText(expected) failed|Locator: locator('.page-header .title').first()|
api-key-validation-API-Key-表单校验-keyName-超长被截断-≤128- | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
api-key-validation-API-Key-表单校验-全空提交被拦截-keyName-NotBlank- | Error: expect(locator).toBeVisible() failed|Locator: locator('.el-dialog').first()|
config-management-config-management-配置管理-Secrets-标签页可切换 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-management-config-management-配置管理-变更日志标签页展示表格与刷新按钮 | Error: expect(locator).toHaveClass(expected) failed|Locator: locator('.config-nav__item').filter({ hasText: '变更日志' }).first()|
config-management-config-management-配置管理-同步日志标签页可切换 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-management-config-management-配置管理-配置同步标签页展示导出-导入区块 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-management-config-management-配置管理-配置管理页面可打开并展示-4-个标签页 | Error: expect(locator).toBeVisible() failed|Locator: locator('.config-nav__item').filter({ hasText: '变更日志' }).first()|
config-management-ops-配置管理-81b66-轮转：确认后提交-→-success-toast-出现 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-management-ops-配置管理-e7157--详情：抽屉展示-Secret-Key-版本-原始响应 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-management-ops-配置管理-—-Secrets-刷新后表格或空态展示 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-management-ops-配置管理-—-变更日志-刷新后表格或空态展示 | Error: expect(locator).toHaveClass(expected) failed|Locator: locator('.config-nav__item').filter({ hasText: '变更日志' }).first()|
config-management-ops-配置管理-—-变更日志-有数据时分页控件可见，切换页码正常 | Error: expect(locator).toHaveClass(expected) failed|Locator: locator('.config-nav__item').filter({ hasText: '变更日志' }).first()|
config-management-ops-配置管理-—-同步日志-刷新后表格或空态展示 | TimeoutError: locator.click: Timeout 10000ms exceeded.|
config-sync-配置同步-导出按钮触发-POST-sync-export | TimeoutError: locator.click: Timeout 10000ms exceeded.|
